,날짜,지역,면세유가
0,2013-01-01,서울,1248.6336558615646
0,2013-01-01,부산,1208.252639328946
0,2013-01-01,대구,1178.368456820213
0,2013-01-01,인천,1173.196476968072
0,2013-01-01,광주,1152.8146951417662
0,2013-01-01,대전,1216.6740596311647
0,2013-01-01,울산,1270.215632464051
0,2013-01-01,경기,1205.12161934357
0,2013-01-01,강원,1157.305617028191
0,2013-01-01,충북,1192.2085774636444
0,2013-01-01,충남,1162.3973624989844
0,2013-01-01,전북,1160.6297747583071
0,2013-01-01,전남,1131.7569690876594
0,2013-01-01,경북,1149.6880674709564
0,2013-01-01,경남,1164.7982338126574
0,2013-01-01,제주,1102.6133329271263
0,2013-01-01,세종,1168.6894694938662
0,2013-01-02,서울,1248.0700194979283
0,2013-01-02,부산,1208.079912056219
0,2013-01-02,대구,1177.559365911122
0,2013-01-02,인천,1173.7328406044358
0,2013-01-02,광주,1152.15105877813
0,2013-01-02,대전,1216.9286050857104
0,2013-01-02,울산,1269.5883597367783
0,2013-01-02,경기,1204.712528434479
0,2013-01-02,강원,1156.860162482736
0,2013-01-02,충북,1191.644941100008
0,2013-01-02,충남,1161.642817044439
0,2013-01-02,전북,1160.0752293037615
0,2013-01-02,전남,1131.7206054512956
0,2013-01-02,경북,1149.7426129255018
0,2013-01-02,경남,1164.7618701762935
0,2013-01-02,제주,1102.7587874725812
0,2013-01-02,세종,1168.6894694938662
0,2013-01-03,서울,1247.38820131611
0,2013-01-03,부산,1208.343548419855
0,2013-01-03,대구,1176.9230022747583
0,2013-01-03,인천,1173.8601133317084
0,2013-01-03,광주,1151.332876959948
0,2013-01-03,대전,1216.4922414493467
0,2013-01-03,울산,1268.4065415549603
0,2013-01-03,경기,1204.5579829799335
0,2013-01-03,강원,1156.460162482736
0,2013-01-03,충북,1191.9722138272807
0,2013-01-03,충남,1161.1973624989844
0,2013-01-03,전북,1159.6934111219437
0,2013-01-03,전남,1130.9206054512956
0,2013-01-03,경북,1149.22443110732
